performance_id,piece_id,source,split,midi_perfm,annot_file,feature_file,performance_MIDI_external
R_11,192,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn_op25_e3_ENSTDkAm.mid,--,PM2S_workspace\R_11.pkl,{A_MAPS}/MAPS_MUS-chpn_op25_e3_ENSTDkAm.mid
R_12,193,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn_op25_e4_ENSTDkAm.mid,--,PM2S_workspace\R_12.pkl,{A_MAPS}/MAPS_MUS-chpn_op25_e4_ENSTDkAm.mid
R_13,227,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn_op33_2_ENSTDkAm.mid,--,PM2S_workspace\R_13.pkl,{A_MAPS}/MAPS_MUS-chpn_op33_2_ENSTDkAm.mid
R_14,229,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn_op35_1_ENSTDkAm.mid,--,PM2S_workspace\R_14.pkl,{A_MAPS}/MAPS_MUS-chpn_op35_1_ENSTDkAm.mid
R_15,236,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn_op66_ENSTDkAm.mid,--,PM2S_workspace\R_15.pkl,{A_MAPS}/MAPS_MUS-chpn_op66_ENSTDkAm.mid
R_16,170,MAPS,valid,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn_op7_1_ENSTDkAm.mid,--,PM2S_workspace\R_16.pkl,{A_MAPS}/MAPS_MUS-chpn_op7_1_ENSTDkAm.mid
R_17,258,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-deb_clai_ENSTDkCl.mid,--,PM2S_workspace\R_17.pkl,{A_MAPS}/MAPS_MUS-deb_clai_ENSTDkCl.mid
R_18,257,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-deb_menu_ENSTDkCl.mid,--,PM2S_workspace\R_18.pkl,{A_MAPS}/MAPS_MUS-deb_menu_ENSTDkCl.mid
R_19,277,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-grieg_butterfly_ENSTDkAm.mid,--,PM2S_workspace\R_19.pkl,{A_MAPS}/MAPS_MUS-grieg_butterfly_ENSTDkAm.mid
R_20,277,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-grieg_butterfly_ENSTDkCl.mid,--,PM2S_workspace\R_20.pkl,{A_MAPS}/MAPS_MUS-grieg_butterfly_ENSTDkCl.mid
R_21,287,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-grieg_kobold_ENSTDkAm.mid,--,PM2S_workspace\R_21.pkl,{A_MAPS}/MAPS_MUS-grieg_kobold_ENSTDkAm.mid
R_22,331,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-liz_et6_ENSTDkCl.mid,--,PM2S_workspace\R_22.pkl,{A_MAPS}/MAPS_MUS-liz_et6_ENSTDkCl.mid
R_23,345,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-liz_et_trans5_ENSTDkCl.mid,--,PM2S_workspace\R_23.pkl,{A_MAPS}/MAPS_MUS-liz_et_trans5_ENSTDkCl.mid
R_24,335,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-liz_rhap02_ENSTDkAm.mid,--,PM2S_workspace\R_24.pkl,{A_MAPS}/MAPS_MUS-liz_rhap02_ENSTDkAm.mid
R_25,337,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-liz_rhap09_ENSTDkAm.mid,--,PM2S_workspace\R_25.pkl,{A_MAPS}/MAPS_MUS-liz_rhap09_ENSTDkAm.mid
R_26,337,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-liz_rhap09_ENSTDkCl.mid,--,PM2S_workspace\R_26.pkl,{A_MAPS}/MAPS_MUS-liz_rhap09_ENSTDkCl.mid
R_27,333,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-liz_rhap12_ENSTDkAm.mid,--,PM2S_workspace\R_27.pkl,{A_MAPS}/MAPS_MUS-liz_rhap12_ENSTDkAm.mid
R_28,362,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-mendel_op62_5_ENSTDkAm.mid,--,PM2S_workspace\R_28.pkl,{A_MAPS}/MAPS_MUS-mendel_op62_5_ENSTDkAm.mid
R_29,387,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-muss_1_ENSTDkAm.mid,--,PM2S_workspace\R_29.pkl,{A_MAPS}/MAPS_MUS-muss_1_ENSTDkAm.mid
R_30,365,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-mz_311_1_ENSTDkCl.mid,--,PM2S_workspace\R_30.pkl,{A_MAPS}/MAPS_MUS-mz_311_1_ENSTDkCl.mid
R_31,372,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-mz_331_2_ENSTDkCl.mid,--,PM2S_workspace\R_31.pkl,{A_MAPS}/MAPS_MUS-mz_331_2_ENSTDkCl.mid
R_32,373,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-mz_331_3_ENSTDkCl.mid,--,PM2S_workspace\R_32.pkl,{A_MAPS}/MAPS_MUS-mz_331_3_ENSTDkCl.mid
R_33,375,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-mz_332_2_ENSTDkCl.mid,--,PM2S_workspace\R_33.pkl,{A_MAPS}/MAPS_MUS-mz_332_2_ENSTDkCl.mid
R_34,378,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-mz_333_2_ENSTDkCl.mid,--,PM2S_workspace\R_34.pkl,{A_MAPS}/MAPS_MUS-mz_333_2_ENSTDkCl.mid
R_35,379,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-mz_333_3_ENSTDkCl.mid,--,PM2S_workspace\R_35.pkl,{A_MAPS}/MAPS_MUS-mz_333_3_ENSTDkCl.mid
R_36,382,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-mz_545_3_ENSTDkCl.mid,--,PM2S_workspace\R_36.pkl,{A_MAPS}/MAPS_MUS-mz_545_3_ENSTDkCl.mid
R_37,383,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-mz_570_1_ENSTDkCl.mid,--,PM2S_workspace\R_37.pkl,{A_MAPS}/MAPS_MUS-mz_570_1_ENSTDkCl.mid
R_38,136,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-pathetique_1_ENSTDkCl.mid,--,PM2S_workspace\R_38.pkl,{A_MAPS}/MAPS_MUS-pathetique_1_ENSTDkCl.mid
R_39,137,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-pathetique_2_ENSTDkAm.mid,--,PM2S_workspace\R_39.pkl,{A_MAPS}/MAPS_MUS-pathetique_2_ENSTDkAm.mid
R_40,138,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-pathetique_3_ENSTDkAm.mid,--,PM2S_workspace\R_40.pkl,{A_MAPS}/MAPS_MUS-pathetique_3_ENSTDkAm.mid
R_41,436,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-schu_143_1_ENSTDkAm.mid,--,PM2S_workspace\R_41.pkl,{A_MAPS}/MAPS_MUS-schu_143_1_ENSTDkAm.mid
R_42,438,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-schu_143_3_ENSTDkCl.mid,--,PM2S_workspace\R_42.pkl,{A_MAPS}/MAPS_MUS-schu_143_3_ENSTDkCl.mid
R_43,449,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-schub_d760_3_ENSTDkAm.mid,--,PM2S_workspace\R_43.pkl,{A_MAPS}/MAPS_MUS-schub_d760_3_ENSTDkAm.mid
R_44,418,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-schuim-1_ENSTDkCl.mid,--,PM2S_workspace\R_44.pkl,{A_MAPS}/MAPS_MUS-schuim-1_ENSTDkCl.mid
R_45,426,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-schumm-1_ENSTDkAm.mid,--,PM2S_workspace\R_45.pkl,{A_MAPS}/MAPS_MUS-schumm-1_ENSTDkAm.mid
R_46,463,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-scn15_11_ENSTDkAm.mid,--,PM2S_workspace\R_46.pkl,{A_MAPS}/MAPS_MUS-scn15_11_ENSTDkAm.mid
R_47,463,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-scn15_11_ENSTDkCl.mid,--,PM2S_workspace\R_47.pkl,{A_MAPS}/MAPS_MUS-scn15_11_ENSTDkCl.mid
R_48,464,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-scn15_12_ENSTDkCl.mid,--,PM2S_workspace\R_48.pkl,{A_MAPS}/MAPS_MUS-scn15_12_ENSTDkCl.mid
R_49,458,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-scn15_6_ENSTDkAm.mid,--,PM2S_workspace\R_49.pkl,{A_MAPS}/MAPS_MUS-scn15_6_ENSTDkAm.mid
R_50,461,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-scn15_9_ENSTDkAm.mid,--,PM2S_workspace\R_50.pkl,{A_MAPS}/MAPS_MUS-scn15_9_ENSTDkAm.mid
R_51,468,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-scn16_3_ENSTDkCl.mid,--,PM2S_workspace\R_51.pkl,{A_MAPS}/MAPS_MUS-scn16_3_ENSTDkCl.mid
R_52,469,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-scn16_4_ENSTDkAm.mid,--,PM2S_workspace\R_52.pkl,{A_MAPS}/MAPS_MUS-scn16_4_ENSTDkAm.mid
R_53,469,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-scn16_4_ENSTDkCl.mid,--,PM2S_workspace\R_53.pkl,{A_MAPS}/MAPS_MUS-scn16_4_ENSTDkCl.mid
R_54,483,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-ty_maerz_ENSTDkAm.mid,--,PM2S_workspace\R_54.pkl,{A_MAPS}/MAPS_MUS-ty_maerz_ENSTDkAm.mid
R_55,483,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-ty_maerz_ENSTDkCl.mid,--,PM2S_workspace\R_55.pkl,{A_MAPS}/MAPS_MUS-ty_maerz_ENSTDkCl.mid
R_56,485,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-ty_mai_ENSTDkAm.mid,--,PM2S_workspace\R_56.pkl,{A_MAPS}/MAPS_MUS-ty_mai_ENSTDkAm.mid
R_57,485,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-ty_mai_ENSTDkCl.mid,--,PM2S_workspace\R_57.pkl,{A_MAPS}/MAPS_MUS-ty_mai_ENSTDkCl.mid
R_58,491,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-ty_november_ENSTDkAm.mid,--,PM2S_workspace\R_58.pkl,{A_MAPS}/MAPS_MUS-ty_november_ENSTDkAm.mid
R_59,100,MAPS,valid,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-waldstein_1_ENSTDkAm.mid,--,PM2S_workspace\R_59.pkl,{A_MAPS}/MAPS_MUS-waldstein_1_ENSTDkAm.mid
S_1,2,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_esp2_AkPnCGdD.mid,--,PM2S_workspace\S_1.pkl,{A_MAPS}/MAPS_MUS-alb_esp2_AkPnCGdD.mid
S_2,2,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_esp2_AkPnStgb.mid,--,PM2S_workspace\S_2.pkl,{A_MAPS}/MAPS_MUS-alb_esp2_AkPnStgb.mid
S_3,2,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_esp2_SptkBGAm.mid,--,PM2S_workspace\S_3.pkl,{A_MAPS}/MAPS_MUS-alb_esp2_SptkBGAm.mid
S_4,2,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_esp2_SptkBGCl.mid,--,PM2S_workspace\S_4.pkl,{A_MAPS}/MAPS_MUS-alb_esp2_SptkBGCl.mid
S_5,3,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_esp3_AkPnCGdD.mid,--,PM2S_workspace\S_5.pkl,{A_MAPS}/MAPS_MUS-alb_esp3_AkPnCGdD.mid
S_6,4,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_esp4_AkPnStgb.mid,--,PM2S_workspace\S_6.pkl,{A_MAPS}/MAPS_MUS-alb_esp4_AkPnStgb.mid
S_7,5,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_esp5_SptkBGCl.mid,--,PM2S_workspace\S_7.pkl,{A_MAPS}/MAPS_MUS-alb_esp5_SptkBGCl.mid
S_8,6,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_esp6_SptkBGCl.mid,--,PM2S_workspace\S_8.pkl,{A_MAPS}/MAPS_MUS-alb_esp6_SptkBGCl.mid
S_9,8,MAPS,--,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_se2_StbgTGd2.mid,--,PM2S_workspace\S_9.pkl,{A_MAPS}/MAPS_MUS-alb_se2_StbgTGd2.mid
S_10,9,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_se3_AkPnBcht.mid,--,PM2S_workspace\S_10.pkl,{A_MAPS}/MAPS_MUS-alb_se3_AkPnBcht.mid
S_11,9,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_se3_AkPnBsdf.mid,--,PM2S_workspace\S_11.pkl,{A_MAPS}/MAPS_MUS-alb_se3_AkPnBsdf.mid
S_12,10,MAPS,valid,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_se4_AkPnBsdf.mid,--,PM2S_workspace\S_12.pkl,{A_MAPS}/MAPS_MUS-alb_se4_AkPnBsdf.mid
S_13,12,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_se6_AkPnStgb.mid,--,PM2S_workspace\S_13.pkl,{A_MAPS}/MAPS_MUS-alb_se6_AkPnStgb.mid
S_14,13,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_se7_AkPnBsdf.mid,--,PM2S_workspace\S_14.pkl,{A_MAPS}/MAPS_MUS-alb_se7_AkPnBsdf.mid
S_15,14,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_se8_SptkBGAm.mid,--,PM2S_workspace\S_15.pkl,{A_MAPS}/MAPS_MUS-alb_se8_SptkBGAm.mid
S_16,105,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-appass_1_AkPnBsdf.mid,--,PM2S_workspace\S_16.pkl,{A_MAPS}/MAPS_MUS-appass_1_AkPnBsdf.mid
S_17,105,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-appass_1_SptkBGCl.mid,--,PM2S_workspace\S_17.pkl,{A_MAPS}/MAPS_MUS-appass_1_SptkBGCl.mid
S_18,107,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-appass_3_AkPnStgb.mid,--,PM2S_workspace\S_18.pkl,{A_MAPS}/MAPS_MUS-appass_3_AkPnStgb.mid
S_19,45,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bach_846_AkPnBcht.mid,--,PM2S_workspace\S_19.pkl,{A_MAPS}/MAPS_MUS-bach_846_AkPnBcht.mid
S_20,45,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bach_846_SptkBGAm.mid,--,PM2S_workspace\S_20.pkl,{A_MAPS}/MAPS_MUS-bach_846_SptkBGAm.mid
S_21,46,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bach_847_AkPnBcht.mid,--,PM2S_workspace\S_21.pkl,{A_MAPS}/MAPS_MUS-bach_847_AkPnBcht.mid
S_22,46,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bach_847_AkPnStgb.mid,--,PM2S_workspace\S_22.pkl,{A_MAPS}/MAPS_MUS-bach_847_AkPnStgb.mid
S_23,46,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bach_847_SptkBGCl.mid,--,PM2S_workspace\S_23.pkl,{A_MAPS}/MAPS_MUS-bach_847_SptkBGCl.mid
S_24,48,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bach_850_AkPnBsdf.mid,--,PM2S_workspace\S_24.pkl,{A_MAPS}/MAPS_MUS-bach_850_AkPnBsdf.mid
S_25,497,MAPS,--,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bk_xmas1_AkPnBsdf.mid,--,PM2S_workspace\S_25.pkl,{A_MAPS}/MAPS_MUS-bk_xmas1_AkPnBsdf.mid
S_26,497,MAPS,--,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bk_xmas1_AkPnStgb.mid,--,PM2S_workspace\S_26.pkl,{A_MAPS}/MAPS_MUS-bk_xmas1_AkPnStgb.mid
S_27,497,MAPS,--,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bk_xmas1_StbgTGd2.mid,--,PM2S_workspace\S_27.pkl,{A_MAPS}/MAPS_MUS-bk_xmas1_StbgTGd2.mid
S_28,494,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bk_xmas2_AkPnStgb.mid,--,PM2S_workspace\S_28.pkl,{A_MAPS}/MAPS_MUS-bk_xmas2_AkPnStgb.mid
S_29,494,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bk_xmas2_SptkBGCl.mid,--,PM2S_workspace\S_29.pkl,{A_MAPS}/MAPS_MUS-bk_xmas2_SptkBGCl.mid
S_30,496,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bk_xmas3_AkPnStgb.mid,--,PM2S_workspace\S_30.pkl,{A_MAPS}/MAPS_MUS-bk_xmas3_AkPnStgb.mid
S_31,493,MAPS,--,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bk_xmas4_SptkBGCl.mid,--,PM2S_workspace\S_31.pkl,{A_MAPS}/MAPS_MUS-bk_xmas4_SptkBGCl.mid
S_32,493,MAPS,--,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bk_xmas4_StbgTGd2.mid,--,PM2S_workspace\S_32.pkl,{A_MAPS}/MAPS_MUS-bk_xmas4_StbgTGd2.mid
S_33,495,MAPS,--,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bk_xmas5_AkPnBcht.mid,--,PM2S_workspace\S_33.pkl,{A_MAPS}/MAPS_MUS-bk_xmas5_AkPnBcht.mid
S_34,495,MAPS,--,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bk_xmas5_AkPnCGdD.mid,--,PM2S_workspace\S_34.pkl,{A_MAPS}/MAPS_MUS-bk_xmas5_AkPnCGdD.mid
S_35,495,MAPS,--,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bk_xmas5_StbgTGd2.mid,--,PM2S_workspace\S_35.pkl,{A_MAPS}/MAPS_MUS-bk_xmas5_StbgTGd2.mid
S_36,143,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bor_ps1_AkPnCGdD.mid,--,PM2S_workspace\S_36.pkl,{A_MAPS}/MAPS_MUS-bor_ps1_AkPnCGdD.mid
S_37,144,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bor_ps2_SptkBGAm.mid,--,PM2S_workspace\S_37.pkl,{A_MAPS}/MAPS_MUS-bor_ps2_SptkBGAm.mid
S_38,147,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bor_ps5_AkPnStgb.mid,--,PM2S_workspace\S_38.pkl,{A_MAPS}/MAPS_MUS-bor_ps5_AkPnStgb.mid
S_39,148,MAPS,--,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bor_ps6_AkPnBsdf.mid,--,PM2S_workspace\S_39.pkl,{A_MAPS}/MAPS_MUS-bor_ps6_AkPnBsdf.mid
S_40,148,MAPS,--,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bor_ps6_StbgTGd2.mid,--,PM2S_workspace\S_40.pkl,{A_MAPS}/MAPS_MUS-bor_ps6_StbgTGd2.mid
S_41,154,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-br_im2_AkPnCGdD.mid,--,PM2S_workspace\S_41.pkl,{A_MAPS}/MAPS_MUS-br_im2_AkPnCGdD.mid
S_42,154,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-br_im2_SptkBGAm.mid,--,PM2S_workspace\S_42.pkl,{A_MAPS}/MAPS_MUS-br_im2_SptkBGAm.mid
S_43,155,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-br_im5_AkPnBsdf.mid,--,PM2S_workspace\S_43.pkl,{A_MAPS}/MAPS_MUS-br_im5_AkPnBsdf.mid
S_44,155,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-br_im5_AkPnCGdD.mid,--,PM2S_workspace\S_44.pkl,{A_MAPS}/MAPS_MUS-br_im5_AkPnCGdD.mid
S_45,155,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-br_im5_SptkBGCl.mid,--,PM2S_workspace\S_45.pkl,{A_MAPS}/MAPS_MUS-br_im5_SptkBGCl.mid
S_46,156,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-br_im6_AkPnStgb.mid,--,PM2S_workspace\S_46.pkl,{A_MAPS}/MAPS_MUS-br_im6_AkPnStgb.mid
S_47,161,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-burg_perlen_SptkBGCl.mid,--,PM2S_workspace\S_47.pkl,{A_MAPS}/MAPS_MUS-burg_perlen_SptkBGCl.mid
S_48,162,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-burg_quelle_SptkBGAm.mid,--,PM2S_workspace\S_48.pkl,{A_MAPS}/MAPS_MUS-burg_quelle_SptkBGAm.mid
S_49,196,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chp_op18_AkPnCGdD.mid,--,PM2S_workspace\S_49.pkl,{A_MAPS}/MAPS_MUS-chp_op18_AkPnCGdD.mid
S_50,225,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chp_op31_AkPnBcht.mid,--,PM2S_workspace\S_50.pkl,{A_MAPS}/MAPS_MUS-chp_op31_AkPnBcht.mid
S_51,225,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chp_op31_AkPnStgb.mid,--,PM2S_workspace\S_51.pkl,{A_MAPS}/MAPS_MUS-chp_op31_AkPnStgb.mid
S_52,208,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn-p10_AkPnStgb.mid,--,PM2S_workspace\S_52.pkl,{A_MAPS}/MAPS_MUS-chpn-p10_AkPnStgb.mid
S_53,209,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn-p11_AkPnCGdD.mid,--,PM2S_workspace\S_53.pkl,{A_MAPS}/MAPS_MUS-chpn-p11_AkPnCGdD.mid
S_54,210,MAPS,valid,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn-p12_AkPnBcht.mid,--,PM2S_workspace\S_54.pkl,{A_MAPS}/MAPS_MUS-chpn-p12_AkPnBcht.mid
S_55,211,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn-p13_AkPnBcht.mid,--,PM2S_workspace\S_55.pkl,{A_MAPS}/MAPS_MUS-chpn-p13_AkPnBcht.mid
S_56,211,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn-p13_AkPnCGdD.mid,--,PM2S_workspace\S_56.pkl,{A_MAPS}/MAPS_MUS-chpn-p13_AkPnCGdD.mid
S_57,212,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn-p14_AkPnBcht.mid,--,PM2S_workspace\S_57.pkl,{A_MAPS}/MAPS_MUS-chpn-p14_AkPnBcht.mid
